date,hashtag,mentions,estimated_reach,sentiment_score,top_country
2025-05-01,#Oscars,112681,357310,-0.27,Japan
2024-07-21,#DataScience,6066,19440,-0.63,Spain
2024-10-24,#5G,48178,175184,0.77,UK
2025-03-14,#Gaming,124413,630559,0.13,Indonesia
2025-04-25,#ViralVideo,89294,470282,0.95,Italy
2024-09-16,#TravelTuesday,10529,50489,-0.51,South Korea
2025-05-03,#Adventure,9923,29107,0.31,China
2025-05-16,#DataScience,142731,517637,0.02,Turkey
2024-06-13,#Startup,108502,368011,-0.46,South Africa
2024-09-18,#MachineLearning,5050,22203,-0.37,Turkey
2024-12-07,#Innovation,107133,565873,-0.34,Italy
2025-04-02,#Entrepreneur,82519,314842,0.5,UK
2024-11-19,#SpaceX,91314,360607,0.45,South Africa
2024-05-28,#Education,147543,826281,-0.17,India
2024-06-07,#AI,165612,969784,-0.57,Japan
2025-05-20,#Adventure,120498,611243,0.08,France
2025-02-20,#Crypto,76564,132908,0.35,UK
2024-09-12,#Entrepreneur,164434,894315,-0.78,UK
2025-03-05,#CyberSecurity,93232,506881,-0.09,Italy
2025-02-16,#TechNews,64139,307192,0.22,Turkey
2025-02-25,#Vegan,144917,653277,0.9,Nigeria
2024-11-12,#Foodie,195810,1029916,0.17,South Korea
2024-08-20,#Art,182049,522284,-0.47,Canada
2025-03-21,#Gaming,149710,405195,-0.1,Canada
2024-12-12,#Oscars,95665,573858,0.15,UK
2025-04-19,#Crypto,150088,345301,0.08,South Korea
2025-03-28,#5G,32037,97144,-0.27,South Africa
2024-08-12,#Oscars,198241,692199,0.07,Nigeria
2025-03-28,#Investing,15682,84867,0.6,Indonesia
2024-08-10,#IoT,94636,275876,0.55,Indonesia
2025-02-23,#Investing,170081,798978,0.95,Nigeria
2025-04-21,#Python,46819,215850,-0.17,France
2025-01-27,#TechNews,96570,324797,-0.38,Australia
2025-04-14,#Stocks,179249,841820,-0.0,Mexico
2025-02-22,#Education,173628,907319,-0.6,Indonesia
2025-01-28,#Python,104849,419027,-0.97,Nigeria
2025-02-09,#SelfCare,158560,903489,0.13,Japan
2024-06-03,#RemoteWork,191342,831017,0.03,Egypt
2024-10-20,#Hiking,149576,342303,0.73,Egypt
2024-07-07,#Coding,104460,243937,0.72,Japan
2024-12-03,#Elections2025,160011,391208,0.84,USA
2025-05-08,#BigData,183133,359120,0.07,India
2024-07-14,#DataScience,45401,257934,-0.58,Egypt
2024-11-08,#Hiking,141145,549229,-0.58,Egypt
2025-01-02,#SelfCare,110350,561208,0.24,Germany
2024-08-21,#MentalHealth,94979,155280,-0.38,South Korea
2024-09-07,#DataScience,169234,728115,0.3,South Africa
2025-04-07,#Books,184210,793855,0.81,Nigeria
2025-02-07,#Health,99860,209880,0.79,Turkey
2024-11-11,#Analytics,62805,277694,0.35,Brazil
2025-05-01,#Education,4638,25869,-0.11,Spain
2025-02-13,#Sustainability,165153,704619,-0.59,South Africa
2024-06-12,#RemoteWork,183218,701933,-0.17,Turkey
2024-07-01,#Analytics,136915,779410,0.28,Egypt
2024-06-15,#Foodie,42027,165577,-0.06,Russia
2025-05-20,#Analytics,7121,33946,-0.19,South Korea
2024-07-21,#MentalHealth,61485,205047,-0.66,UK
2025-01-22,#Travel,55772,87464,-0.85,Italy
2025-01-09,#History,99430,526415,-0.98,South Korea
2024-10-14,#Finance,135084,281267,-1.0,Japan
2025-02-27,#IoT,76283,234913,0.17,USA
2025-05-21,#EcoFriendly,185493,1052073,0.39,Japan
2025-03-05,#Innovation,116616,593105,0.26,Indonesia
2024-11-23,#MentalHealth,97850,395576,0.6,USA
2024-10-28,#Foodie,105059,620862,-0.18,South Korea
2025-05-26,#DataScience,60816,249385,-0.79,Mexico
2025-04-21,#Books,53313,119655,0.51,UK
2025-02-16,#Cloud,10697,30743,0.17,Canada
2024-09-04,#DeepLearning,40872,144564,0.99,Mexico
2025-01-23,#Elections2025,32761,64418,0.12,Indonesia
2024-11-23,#NFT,38908,137975,0.48,Italy
2025-05-16,#Cloud,120314,326139,0.53,Russia
2025-05-23,#History,167528,776097,-0.2,South Korea
2025-03-14,#FitnessGoals,115348,417053,-0.46,Mexico
2025-02-26,#Productivity,99124,274580,0.67,Germany
2024-10-08,#MetGala,137153,689731,0.32,USA
2025-03-23,#MachineLearning,30013,141475,-0.09,Egypt
2025-03-20,#ViralVideo,30997,56512,-0.55,France
